@relation training_messages

@attribute message string
@attribute sex_content, {no, yes}

@data
"do u have a pic", yes
"can i see your pic", yes
"would u like to meet in person", yes
"im a nudist", yes
"i just like to be naked", yes
"would u like to see me naked in person", yes
"i like to be jacked off and like to cumm for u", yes
"stuff that comes out of my dick", yes
"you stroke my dick up and down ", yes
"i will let all the girls play with my dick", yes
"take turns stroking my dick to make me cumm", yes
"u all see me naked", yes
"play with my dick", yes
"would i get to see any girls naked", yes
"i would like to eat some pussy", yes
"lick your pussy", yes
"fill your pussy", yes
"could stick my dick bteen some girls legs", yes
"like fucking", yes
"or inde a girls pussy", yes
"or inside pussy", yes
"u see my dick", yes
"what all would u do when i get naked for u", yes
"do u have hair on your pussy", yes
"could i fill your pussy", yes
"and other girls pussy to", yes
"i can stay a day naked", yes
"can get different girls to come and play with my dick", yes
"i could fuck them", yes
"tie them to the bed naked", yes
"all the girls can watch fuck them", yes
"would u let me fuck u", yes
"i showed u my dick on cam", yes
"i will be naked all the time", yes
"would u like to give me a bath", yes
"there one with dick in pussy", yes
"Thanx for acceptin babygirl", yes
"Yeah y how old r u", yes
"Oh okay. Dang you're beautiful I'm old babygirl. Im 23", yes
"Dang why is that. Babygirl", yes
"I want you to finger your self", yes
"Are you going to be my girl", yes
"u sound really hot", yes
"I want you now though", yes
"I wish i could see u now to", yes
"Your going to just let me have you aren't you", yes
"We are going to meet.but when we meet and I'm like get on your knees and I pull my dick out and say open your mouth and suck on it you'll do it right", yes
"Go out with me then", yes
"if ur my bf I guess I could try to do what u want. idk. I need to met u first", yes
"Say your my gf", yes
"Goodnight baby", yes
"good night baby", yes
"Babe", yes
"I want to see u", yes
"But I want to hear your voice", yes
"i love ur voice", yes
"Yes your my gf", yes
"I can't wait to kiss you", yes
"I been thinking if you'll be able to handle me", yes
"You'll have to give me your address", yes
"I wanted to meet u at the park first", yes
"Are you wanting to meet tonight", yes
"Dang I wanted to actually hear your voice", yes
"I'm wandering what do you have on tell me everything you have on a t shirt and jeans", yes
"Who does your pussy belong to", yes
"I need my dick sucked", yes
"I want naked pics of you", yes
"I want pics", yes
"Of you naked", yes
"You'll haft to take all your clothes off and take some. I wanna see your pussy", yes
"Baby are you going to take some", yes
"like u touching my dick and me touching u", yes
"its kinda like u touching my dick with ur hands but u would be using ur mouth too", yes
"well my dick would go inside ur mouth and u would go up and down on it with ur mouth while sucking a lil bit but u have to keep ur teeth off my dick or it would hurt me", yes
"Lol its gonna have to be a quicky lmfao imma pussy lol", yes
"Lol yah ur so goofy", yes
"Do anything you want baby ill love whatever you do", yes
"No im gonna meet you even if we talk dirty, your mine baby", yes
"If your not babe lol then I will cuz we're gonna meet and im gonna fuck you hard", yes
"Ya know I must say that gets me excited to hear but please not too hard the first time lol", yes
"are u really only 13?", yes
"well i am 32, do u mind, or do u like older guys?", yes
"caue i love girls your age", yes
"thats good cause i love girls your age", yes
"age is just a number to me", yes
"your cute", yes
"i wish u were here with me", yes
"i would love to cuddle with you and give u kisses and maybe more", yes
"and im very attracted to you", yes
"would u be offended if i asked you what u are wearing right now?", yes
"cool wish i could see that", yes
"hey thats alright, would u let me rub them?", yes
